label,certificate_expires_at,revoked,type,created_at
admin@ibnmsp,2027-01-10 07:06:00+00,f,admin,2026-01-10 07:05:54.51+00
testuser@ibnmsp,2027-01-10 07:06:00+00,f,X.509,2026-01-10 07:05:54.838+00
